nct_id,study_title,study_status,conditions,interventions,sponsor,phases,locations,start_date,completion_date
NCT06150612,Unwinding Anxiety for Migraine: Pilot,UNKNOWN,Migraine|Anxiousness,BEHAVIORAL: Unwinding Anxiety,Yeshiva University,NO_PHASE,"Rousso Building, The Bronx, New York, 10461, United States",2024-01-03,2025-01-01
NCT01675986,Comparing the Efficacy of Pregabalin and Hydroxyzine on the Anxiety Score,COMPLETED,Feeling Anxious,DRUG: hydroxyzine|DRUG: Pregabalin|DRUG: Lactose,Poitiers University Hospital,PHASE2,"CHU de POITIERS, Poitiers, 86021, France",,
NCT03425487,Mindfulness-based and Compassion-based Interventions in Anxious-Depressive Symptomatology in Mental Health Services,COMPLETED,Anxious-Depressive,BEHAVIORAL: Mindfulness based Intervention|BEHAVIORAL: Compassion based Intervention|OTHER: TAU,Hospital Miguel Servet,NO_PHASE,"Hospital Universitario de la Plana, Castellon, Spain",2019-01-01,2019-10-31
NCT06921512,TCM Daoyin for Anxiety/Depression: Psychological Effects and Biological Mechanisms,RECRUITING,Anxiety Symptom|Depression Symptom,BEHAVIORAL: TCM Daoyin exercise,Shanghai University of Traditional Chinese Medicine,NO_PHASE,"Shanghai Qigong Research Institute, Shanghai, 200030, China",2025-04-10,2027-09-30
NCT06350201,Machine Learning-based Classification of Symptom Clusters and Online CBT,RECRUITING,Depression and Anxiety Symptom,BEHAVIORAL: problem solving therapy|OTHER: control group,Wuhan Mental Health Centre,NO_PHASE,"Renmin Hospital of Wuhan University, Wuhan, China",2025-09-01,2026-12-01
NCT06346119,Evaluation of the Impact of Touch Relaxation in Sedated Intubated Patients Hospitalized in Intensive Care at Niort Hospital,RECRUITING,Reaction Anxiety|Difficult or Failed Intubation,"OTHER: this arm will received relaxing touch (hands, feet, head) during 30 minutes twice a day",Centre Hospitalier de Niort,NO_PHASE,"Centre Hospitalier de Niort, Niort, 79000, France",2023-02-27,2025-12-31
NCT04780763,"Effect of 4-week Oral Administration of a Fermented Dairy Product Containing Lactobacillus Rhamnosus CNCM I-3690, on Subjective State Anxiety Levels in Healthy Women Undergoing Academic Stress.",COMPLETED,Anxious Healthy Subjects,OTHER: Milk product fermented by lactic bacteria or not fermented,Danone Global Research & Innovation Center,NO_PHASE,"UZ/KU Leuven, Leuven, 3000, Belgium",2021-03-04,2021-12-22
NCT07399457,A Nature-based Physical Activity Therapy Group for College Students,COMPLETED,Depression and Anxiety Symptom,BEHAVIORAL: Moving Naturally Through Challenges group therapy,Kansas State University,NO_PHASE,"Kansas State University, Manhattan, Kansas, 66506, United States",2025-02-01,2025-06-30
NCT04825171,Perceived Changes in Anxiety Symptom Burden During Treatment With Bryophyllum Pinnatum and Tolerability,COMPLETED,Anxiety Symptoms,DRUG: Bryophyllum 50 % Chewing Tablets,Markus Schlemmer,PHASE4,"Klinik Arlesheim, Arlesheim, Basel-Landschaft, 4144, Switzerland",2021-08-31,2023-12-31
NCT07391540,ICBT for Psychological Symptoms Related to Economy,RECRUITING,Depression and Anxiety Symptom,BEHAVIORAL: Internet-based cognitive behavioral therapy,Linkoeping University,NO_PHASE,"Department of Behavioral Sciences and Learning, Linköping, Östergötland County, 58183, Sweden",2026-01-14,2028-05-31
NCT04413513,Effect of IATP on Cognitive Functioning in Anxious Older Adults.,COMPLETED,Anxiety Symptoms,OTHER: Integrated Attention Training Program (IATP)|OTHER: Health Education,The Hong Kong Polytechnic University,NO_PHASE,"The Hong Kong Polytechnic University, Hong Kong, Hong Kong",2018-08-13,2019-01-07
NCT01537679,Meditation to Reduce Caregiver Stress,COMPLETED,Depression NOS|Major Depressive Disorder|Anxiety NOS,BEHAVIORAL: Kirtan Kriya meditation|BEHAVIORAL: Relaxation,"University of California, Los Angeles",NO_PHASE,"UCLA Semel Institute, Los Angeles, California, 90095, United States",,
NCT03277339,Psycho-biological Substrates of Therapeutic Benefit of Thermal Cure on Generalized Anxiety Disorders,COMPLETED,Generalized Anxious Disorders,DRUG: Paroxetine|OTHER: Thermal cure,Centre Hospitalier Henri Laborit,PHASE4,"Centre Hospitalier Henri Laborit, Poitiers, France|Les thermes de Saujon, Saujon, 17600, France",2017-01-19,2020-02-05
