nct_id,study_title,study_status,conditions,interventions,sponsor,phases,Locations,start_date,completion_date
NCT07048990,Feasibility of Empowerment Group Therapy on Ukrainian Adult Outpatients,RECRUITING,Depression NOS,BEHAVIORAL: Empowerment Group Therapy,"Charite University, Berlin, Germany",,"National Medical University Bogomolets, Kyiv, Kyiv Oblast, Ukraine",2024-11-05,2025-09
NCT02958527,Drug Use Investigation Of Effexor (SECONDARY DATA COLLECTION STUDY; SAFETY AND EFFICACY OF EFFEXOR.UNDER JAPANESE MEDICAL PRACTICE),COMPLETED,Depression/Depressed State,DRUG: venlafaxine,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,,,2016-10-03,2020-05-11
NCT03278938,"Add-on to Cognitive, Event-Related Potentials (ERP) and Electroencephalogram (EEG) Asymmetry in Affective Disorders",WITHDRAWN,Depressive Illness,DRUG: bupropion|DRUG: citalopram,New York State Psychiatric Institute,PHASE4,"New York State Psychiatric Institute, New York, New York, 10032, United States",2012-06-29,2016-01
NCT07528014,ATLAS-1: Advanced Trial for Longitudinal Assessment in Salma 1,RECRUITING,Depressed Mood,,"Salma Health, Inc.",,"Salma Health, La Jolla, California, 92037, United States|Salma Health, Laguna Hills, California, 92653, United States",2026-03-25,2037-03
NCT03966833,Using Group Interpersonal Psychotherapy to Improve the Well-Being of Adolescent Girls,COMPLETED,Mental Depression,BEHAVIORAL: IPT-G|BEHAVIORAL: Unconditional Cash Transfer,George Washington University,,"BRAC Uganda, Kampala, Uganda",2019-05-26,2022-09-30
NCT05797428,The Effects of Logotherapy in Adolescents With Mood Disorders,RECRUITING,Mood Disorder of Depressed Type,OTHER: logotherapy,National Taiwan University Hospital,,"Kaohsiung Chang Gung Memorial Hospital, Kaohsiung City, Niaosong District, 833, Taiwan",2023-05-19,2025-07-31
NCT05306093,Depressed Mood and Anhedonia in Healthy Adults,COMPLETED,Anhedonia|Depressed Mood,DIETARY_SUPPLEMENT: Nutraceutical|DIETARY_SUPPLEMENT: Maltodextrin,Institut Pasteur de Lille,,"CEN Experimental, Dijon, 21000, France",2022-01-07,2022-09-01
NCT07317895,Sensitivity to Ovarian Hormones and Depression in Adolescents,NOT_YET_RECRUITING,Depressed,,University of Calgary,,"University of Calgary, Calgary, Alberta, T2N1N4, Canada",2026-03-01,2027-08-31
NCT07172113,Utilizing Embodied Artificial Intelligence (AI) for the Development of Digital Cognitive Behavioral Therapy (CBT) for Depression in Virtual Reality (VR),RECRUITING,Depression Scale Score,DEVICE: CBT + VR,Chinese University of Hong Kong,,"The Chinese University of Hong Kong, Hong Kong, Hong Kong",2025-03-07,2025-09-30
NCT06058364,Effect of a Nutritional Supplement on Mental Wellness in Adults,COMPLETED,Low Mood,DIETARY_SUPPLEMENT: Intervention 1 - Triglyceride|DIETARY_SUPPLEMENT: Intervention 2 - Placebo,Pharmavite LLC,,"Atlantia Clinical Trials, Chicago, Illinois, 60611, United States",2023-09-18,2024-10-08
NCT02798094,Stress Sensitivity and Reward Responsivity in Depression,COMPLETED,Depressed,,Dr. Kate Harkness,,"Queen's University, Kingston, Ontario, K7L 3N6, Canada",2015-07,2018-12-31
NCT05232734,CaffeinICU Study - A Study on Oral Caffeine in ICU Patients With Coma,SUSPENDED,Depressed GCS,DRUG: Caffeine Citrate 20 MG/ML Oral Solution,Singapore General Hospital,PHASE2,"Singapore General Hospital, Singapore, 169608, Singapore",2022-11-24,2025-12-31
NCT06928428,"Metacognitive Therapy for Depression and Generalized Anxiety Disorder in Primary Care, Blended Version of Mediated Treatment",ENROLLING_BY_INVITATION,Depression NOS|Generalized Anxiety Disorder,"BEHAVIORAL: Metacognitive therapy, blended format",Region Stockholm,,"Liljeholmen primary care center, Academic Primary care center, SLSO, Region Stockholm, Stockholm, Stockholm County, 11794, Sweden",2025-02-10,2027-12-01
NCT00296712,Are Two Antidepressants a Good Initial Treatment for Depression?,COMPLETED,Major Depression|Dysthymia|Depression NOS,DRUG: escitalopram + bupropion,New York State Psychiatric Institute,PHASE4,"Depression Evaluation Service - New York State Psychiatric Institute, New York, New York, 10032, United States",2005-02,2006-07
NCT04291547,Computerised Behavioural Activation for Young People With Depression,COMPLETED,Low Mood|Depression,DEVICE: BALM,University of York,,"Tees Esk and Wear Valleys NHS Foundation Trust, York, United Kingdom",2020-06-10,2021-03-31
NCT06740188,Trazodone on NREM Sleep Stage Ⅲ in Depressed Insomniac Co-morbid Patients,RECRUITING,Depressed Insomniac Co-morbid Patients,DRUG: 5-hydroxytryptamine balanced antidepressants trazodone|DRUG: Citalopram hydrobromide combined with zolpidem,Tongji University,PHASE4,"Tongji University, Shanghai, Shanghai Municipality, 200124, China",2025-01-01,2027-12-31
NCT07426536,"Sleep Parenting, Maternal Depression, and Toddler Sleep",COMPLETED,Depressed Mood|Toddler Sleep,"DIAGNOSTIC_TEST: Beck Depression Inventory-II, Brief Infant Sleep Questionnaire-Revised, Background data sheet",Chung Shan Medical University,,"Chun Shan Medical University, Taichung, 40201, Taiwan",2022-11-25,2024-01-31
NCT01367080,A Study to Compare the Pharmacokinetic Profiles of Etravil® Tablet 10mg and Etravil® Tablet 25mg,COMPLETED,Depression|Depressive State|Enuresis,DRUG: DWETR10|DRUG: DWETR25,Dong Wha Pharmaceutical Co. Ltd.,PHASE1,"Chonbuk National University Hospital., Jeonju, Jeollabuk-do, 561-712, South Korea",2011-07,2011-09
NCT01536756,Effectiveness of a Structured Physical Rehabilitation Program for Chinese Patients With Depressive Disorders,COMPLETED,Depressive Disorders,OTHER: Exercise Intervention -- Physical Rehabilitation Program|OTHER: Wait List Control Group,"Kowloon Hospital, Hong Kong",,"Physiotherapy Department, Kowloon Hospital, Hong Kong, China|Physiotherapy Department, Kwai Chung Hospital, Hong Kong, China",2012-02,2015-12-31
NCT05061381,Effectiveness of a School Wellbeing Programme for Internalising Problems in Irish Primary School Children,UNKNOWN,Anxiety|Low Mood,BEHAVIORAL: A Lust for Life Schools Programme,University College Dublin,,"University College Dublin, Dublin, Tipperary, E41 AT10, Ireland",2021-10-11,2022-11-30
NCT04959916,Group-based Metacognitive Therapy for Burns and Plastics Patients,UNKNOWN,Anxiety|Low Mood,BEHAVIORAL: Group Metacognitive Therapy,University of Manchester,,"Department of Burns Plastics and Reconstructive Surgery, Wythenshawe Hospital, Manchester, M23 9LT, United Kingdom",2021-10-01,2022-09
NCT00226863,Meditation and Hypnosis for Chronic Depressed Mood,COMPLETED,Long Term Depressed Mood,BEHAVIORAL: meditation plus education|BEHAVIORAL: group psychotherapy with hypnosis plus education|BEHAVIORAL: education,Stanford University,PHASE3,,,
NCT00992147,Safety and Efficacy of Autologous Cultured Adipocytes in Patient With Depressed Scar,COMPLETED,Depressed Scar,DRUG: Adipocell,"Anterogen Co., Ltd.",PHASE2|PHASE3,"Samsung Medical Center, Seoul, 135-710, South Korea",2004-05,2007-03
NCT02054312,Family Based Interpersonal Psychotherapy (FB-IPT) for Depressed Preadolescents,COMPLETED,Depressive Disorders,BEHAVIORAL: Family Based Interpersonal Psychotherapy (FB-IPT)|BEHAVIORAL: Client Centered Therapy (CCT),University of Pittsburgh,,"Western Psychiatric Institute & Clinic, Pittsburgh, Pennsylvania, 15213, United States",2010-10,2014-10
NCT01449890,Randomized Trial of Depression Follow-up Care by Email,COMPLETED,Depressive Disorders,BEHAVIORAL: E-mail follow up care,Universitätsklinikum Hamburg-Eppendorf,,"University Medical Center Hamburg-Eppendorf, Centre of Psychosocial Medicine, Department of Medical Psychology, Hamburg, Free and Hanseatic City of Hamburg, 20246, Germany",2012-09,2013-11
