NCT Number,Study Title,Study Status,Brief Summary,Conditions,Interventions,Sponsor,Phases,Start Date,Completion Date,Locations
NCT07048990,Feasibility of Empowerment Group Therapy on Ukrainian Adult Outpatients,RECRUITING,"This single-arm pilot study aims to explore the feasibility and acceptability of the culturally adapted, Ukrainian version of the Empowerment Group Therapy (Wiechers, 2023) manual and accompanying workbook for the Ukrainian population affected by the ongoing war. Feasibility will be evaluated based on participant retention. Acceptability will be assessed through questionnaires and qualitative feedback. The study also gathers preliminary data on the effectiveness of the intervention by assessing changes in quality of life, stress, symptoms of anxiety, depression, PTSD, and somatization. Overall, it seeks to explore the relevance and impact of group-based resilience therapy in a conflict-affected setting.",Depression NOS,BEHAVIORAL: Empowerment Group Therapy,"Charite University, Berlin, Germany",NA,2024-11-05,2025-09,"National Medical University Bogomolets, Kyiv, Kyiv Oblast, Ukraine"
NCT02958527,Drug Use Investigation Of Effexor (SECONDARY DATA COLLECTION STUDY; SAFETY AND EFFICACY OF EFFEXOR.UNDER JAPANESE MEDICAL PRACTICE),COMPLETED,SECONDARY DATA COLLECTION STUDY; SAFETY AND EFFICACY OF EFFEXOR.UNDER JAPANESE MEDICAL PRACTICE,Depression/Depressed State,DRUG: venlafaxine,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,,2016-10-03,2020-05-11,
NCT03278938,"Add-on to Cognitive, Event-Related Potentials (ERP) and Electroencephalogram (EEG) Asymmetry in Affective Disorders",WITHDRAWN,Depressed patients unremitted after monotherapy with citalopram or bupropion will remit following six weeks treatment with the combination of citalopram and bupropion.,Depressive Illness,DRUG: bupropion|DRUG: citalopram,New York State Psychiatric Institute,PHASE4,2012-06-29,2016-01,"New York State Psychiatric Institute, New York, New York, 10032, United States"
NCT07528014,ATLAS-1: Advanced Trial for Longitudinal Assessment in Salma 1,RECRUITING,"This study will evaluate the feasibility and clinical utility of developing predictive models of treatment response for patients with depressed mood using multimodal clinical data collected in real-world clinical settings. The study will examine outcomes among patients treated with interventions including esketamine, conventional transcranial magnetic stimulation (TMS), or Stanford Accelerated Intelligent Neuromodulation Therapy (SAINT). Retrospective clinical and research data from existing databases may also be incorporated, when available and authorized, to support model development and validation. The goal is to assess whether integrated clinical datasets can be used to support the development of predictive tools that may inform personalized treatment selection in depression.",Depressed Mood,,"Salma Health, Inc.",,2026-03-25,2037-03,"Salma Health, La Jolla, California, 92037, United States|Salma Health, Laguna Hills, California, 92653, United States"
NCT03966833,Using Group Interpersonal Psychotherapy to Improve the Well-Being of Adolescent Girls,COMPLETED,"Adolescent girls in developing countries face high rates of adversity and are at an elevated risk of depression and other forms of psychological distress. Untreated depression can have negative consequences on life outcomes such as early pregnancies, social exclusion and school dropout. These can result in a cycle of poverty for young women and their families. Despite this being a very pressing problem there is little evidence on what types of interventions can help break the vicious cycle of poor mental health and poverty.

This research program aims to evaluate, through the use of a cluster-Randomized Control Trial (cluster- RCT), the effect of group-based interpersonal psychotherapy (IPT-G) and unconditional cash transfers on adolescent girls' mental health and social functioning. Working with Strong Minds Uganda in collaboration with BRAC Uganda's Empowerment and Livelihood for Adolescents (ELA) clubs, the evidence generated from this research will create a better understanding of whether adolescent mental health improves through this cost-effective approach, and whether improved mental health impacts other outcomes of interest.",Mental Depression,BEHAVIORAL: IPT-G|BEHAVIORAL: Unconditional Cash Transfer,George Washington University,NA,2019-05-26,2022-09-30,"BRAC Uganda, Kampala, Uganda"
NCT05797428,The Effects of Logotherapy in Adolescents With Mood Disorders,RECRUITING,"Logotherapy can help people find their meaning in life and help people reduce their suicidal ideation. Suicide was the second leading cause of death for 15-24 year-olds. Logotherapy can increase exploration of meaning in life for adolescents and prevent them from attempting suicide. However, most research only explored the effects of logotherapy on meaning in life and depression in adolescents with mood disorders. There is a lack of research to explore the effects of logotherapy on anxiety and suicidal ideation in adolescents. Therefore, this study will explore the effects of logotherapy on meaning in life, depression, anxiety and suicidal ideation in adolescents with mood disorders. This study will carry on for two years and the sample will be recruited from the adolescents' outpatient clinic of psychiatric department in hospitals. The first and second year of the study will use a single-blind randomized controlled trial approach, the aim is to evaluate the short-term and longitudinal effects of logotherapy meaning in life, depression, anxiety and suicidal ideation in adolescents with mood disorders, the sample will collect 120 adolescents with mood disorders, and will use four instruments for testing the logotherapy intervention. The four instruments are: (1) Purpose in life Test, (2) Beck Depression Inventory II, (3) Beck Anxiety Inventory, (4) Beck Scale for Suicide Ideation. Data will be analyzed using the Statistic Package for the Social Science. The result of this study will be applied to the mental health team in the clinical psychiatric department for taking care of patients, and help adolescents with mood disorders to find their meaning in life, further, to reduce their depression, anxiety and suicidal ideation.",Mood Disorder of Depressed Type,OTHER: logotherapy,National Taiwan University Hospital,NA,2023-05-19,2025-07-31,"Kaohsiung Chang Gung Memorial Hospital, Kaohsiung City, Niaosong District, 833, Taiwan"
NCT05306093,Depressed Mood and Anhedonia in Healthy Adults,COMPLETED,The aim of this study is to evaluate the effect of nutraceutical supplement on depressed mood and anhedonia in volunteers after 8 weeks of consumption.,Anhedonia|Depressed Mood,DIETARY_SUPPLEMENT: Nutraceutical|DIETARY_SUPPLEMENT: Maltodextrin,Institut Pasteur de Lille,NA,2022-01-07,2022-09-01,"CEN Experimental, Dijon, 21000, France"
NCT07317895,Sensitivity to Ovarian Hormones and Depression in Adolescents,NOT_YET_RECRUITING,"The goal of this observational study is to learn about the relationship between changes in ovarian hormones (estrogen and progesterone) and adolescent depression. The main question it aims to answer is:

Can we identify a subset adolescents assigned female at birth with a history of depression who are particularly sensitive to changes in ovarian hormones? Participants will be monitoring daily absolute ovarian hormone levels at home using the Mira Analyzer and answer online survey questions about their mental health for 90 days.",Depressed,,University of Calgary,,2026-03-01,2027-08-31,"University of Calgary, Calgary, Alberta, T2N1N4, Canada"
NCT07172113,Utilizing Embodied Artificial Intelligence (AI) for the Development of Digital Cognitive Behavioral Therapy (CBT) for Depression in Virtual Reality (VR),RECRUITING,"Depression is a prevalent mental disorder characterized by pervasive low mood, diminished interest or pleasure, and a range of cognitive and physical symptoms. According to the World Health Organization (WHO), depression is a leading cause of disability worldwide, affecting approximately 280 million individuals of all ages. In spite of the widespread occurrence and negative consequences linked to depression, fewer than 30% of individuals with common mental disorders sought assistance from mental health services in the previous year due to reasons such as, high-cost and stigma.

Cognitive behavioral therapy (CBT) is the gold-standard and evidence-based intervention for various mental health disorders, including depression, anxiety, and its effectiveness has been widely proven. With the recent advancement in AI and other relevant technologies, the use of digital CBT has become possible. Indeed, a recent systematic review demonstrated a comparable effectiveness of traditional CBT and digital CBT, after controlling the moderators (e.g., intervention duration, and adherence). While digital CBT has achieved impressive performance, the majority of them utilized web-based or app-based platforms. Therefore, one of the disadvantages of such digital CBT is the lack of interaction between (digital) therapists and clients. Additionally, lower adherence to digital interventions was observed, indicating the need for briefer sessions, such as single-session integrated CBT (SSI-CBT), for digital interventions. SSI-CBT involves a collaborative effort between the therapist and the client, aimed at assisting the client in accomplishing their desired outcome within a single session. It is understood that additional support is accessible if required. A recent study using SSI-CBT demonstrated promising results of its effectiveness in reducing depression and anxiety, which can last for two months. To further generalize the application of digital interventions, a more interactive virtual therapist utilizing a brief CBT-based intervention approach is desired.

This study will evaluate the effectiveness of virtual CBT therapist for reducing depression symptoms, compared to a waitlist control group. Based on previous research, it is expected that a virtual CBT therapist can significantly reduce the depression symptoms at both post-intervention and one-month follow-up.",Depression Scale Score,DEVICE: CBT + VR,Chinese University of Hong Kong,NA,2025-03-07,2025-09-30,"The Chinese University of Hong Kong, Hong Kong, Hong Kong"
NCT06058364,Effect of a Nutritional Supplement on Mental Wellness in Adults,COMPLETED,"Trillions of microbes reside in human gut and constitute ""gut microbiota"". Composition of these microbes and substances produced by them play an important role in human health and wellness.

The goal of this study is to determine if a unique orally consumed triglyceride supplement will impart mood benefits. Investigators hypothesize that a part of the fatty acids will be released in upper gastrointestinal (GI) tract and can be absorbed and reach different organs via systemic circulation (blood), including to the brain, and provide health benefits. Rest of the portion would reach the colon and may modulate gut microbiota and provide health benefits via the gut-brain axis (a bi-directional communication between emotional and cognitive centers and the gastrointestinal system). These health benefits could include alleviation of stress, occasional anxiousness and low mood.

Participants with self-reported low mood will be randomized to two groups - one group will receive triglyceride supplement in softgel form and another group will receive a placebo (softgel with no active substance). Investigators will evaluate the effect of consumption of triglyceride supplement compared to Placebo on occasional low mood, occasional anxiousness, stress, sleep and general health by measuring changes from baseline.",Low Mood,DIETARY_SUPPLEMENT: Intervention 1 - Triglyceride|DIETARY_SUPPLEMENT: Intervention 2 - Placebo,Pharmavite LLC,NA,2023-09-18,2024-10-08,"Atlantia Clinical Trials, Chicago, Illinois, 60611, United States"
